id,name,geonames,lat,lng
168,Ybbs an der Donau,2760772,48.16667,15.08333
169,nördlich Langeck,,NULL,NULL
170,Atzgersdorf,2782272,48.14719,16.29487
171,Liesing,2772487,48.13479,16.28208
172,Kirchberg am Wechsel,2774405,47.60738,15.99103
173,Kirchberg,,NULL,NULL
174,Maria Raisenmarkt,2768045,48.03046,16.0736
175,Wöllersdorf,,NULL,NULL
176,Krumbach,,NULL,NULL
177,St. Leonhard am Forst,2766599,48.13333,15.28333
178,Triestingtal,,NULL,NULL
179,St. Pölten,2766429,48.2,15.63333
180,Lunz am See,2772186,47.8612,15.02998
181,Fischbach,,NULL,NULL
182,Pottendorf,2768472,47.9,16.38333
183,Feuersbrunn,2779606,48.43333,15.78333
184,Auckental bei Aschach,,NULL,NULL
185,östlich Enns,NaN,48.21346,14.47612
186,Deutschland,2921044,51.5,10.5
187,Neubiberg,2866174,48.0771,11.65812
188,Porto Marghera (I),3173960,45.43785,12.30949
189,Lienz,2772505,46.8289,12.76903
190,Italien,,NULL,NULL
191,München,2867714,48.13743,11.57549
192,Telfs,2763810,47.30707,11.06817
193,Bregenz,2781503,47.50311,9.7471
194,Hall in Tirol,2764958,47.28333,11.51667
195,Kittsee-Berg,,NULL,NULL
196,CZ,,NULL,NULL
197,Bratislava,3060972,48.14816,17.10674
198,Himberg,,NULL,NULL
199,Götzendorf,,NULL,NULL
200,Klingenbach,2773938,47.75202,16.54069
201,westlich Wien,NaN,48.20849,16.37208
202,Moosbierbaum,2771246,48.30478,15.90048
203,Oberpullendorf,2769812,47.50352,16.50447
204,Schmida,3324103,48.38333,16.11667
205,Korneuburg,2773698,48.35,16.33333
206,westlich Tulln,NaN,48.32829,16.05858
207,Bockfließ,2781658,48.36,16.60389
208,Raum Wien,NaN,48.20849,16.37208
209,Floridsdorf,2779467,48.25,16.39972
210,Schlosshof-Lassee,,NULL,NULL
211,Marchegg,2771970,48.26217,16.91045
212,Zwentendorf,,NULL,NULL
213,Tulln,2763266,48.32829,16.05858
214,Preßbaum,2768348,48.18333,16.08333
215,Wiener Neudorf,2761354,48.08278,16.31384
216,Puchberg,,NULL,NULL
217,Mistelbach,,NULL,NULL
218,Lilienfeld,2772470,48.01312,15.59664
219,Rax,,NULL,NULL
220,Pyhra,,NULL,NULL
221,Klosterneuburg,2773913,48.30521,16.32522
222,Gänserndorf,2778877,48.33925,16.72016
223,Dürnkrut,2780607,48.47315,16.85062
224,Birkfeld,2781748,47.35,15.68333
225,St. Ruprecht an der Raab,2766410,47.15336,15.66256
226,Papa,3046686,47.33004,17.4674
227,Fürstenfeld,2779115,47.05,16.08333
228,St. Michael im Burgenland,2766497,47.12852,16.27148
229,Slowakei,,NULL,NULL
230,Blechhammer,,NULL,NULL
231,Schneeberg,,NULL,NULL
232,Krems,2773549,48.40921,15.61415
233,Strallegg,2764217,47.41165,15.72534
234,Neusiedl am See,2770684,47.94901,16.8417
235,Hainburg,2776988,48.14627,16.94504
236,nördlich Wien,NaN,48.20849,16.37208
237,Gerasdorf,,NULL,NULL
238,unbekannter Ort,,NULL,NULL
239,Baden bei Wien,2782067,48.00543,16.23264
240,östlich Wien,NaN,48.20849,16.37208
241,Gänserndorf,2778877,48.33925,16.72016
242,Tadten,2763960,47.76667,16.98333
243,Andau,2782552,47.77441,17.03293
244,nördl. Kapuvar,NaN,47.59224,17.02886
245,Wiener Neudorf,2761354,48.08278,16.31384
246,Wittau,2760982,48.18174,16.59712
247,Wien südlich,NaN,48.20849,16.37208
248,Maria Lanzendorf,2771921,48.09923,16.41984
249,Mürzzuschlag,2770993,47.6,15.68333
250,nordwestl. Wien,NaN,48.20849,16.37208
251,Münchendorf (D),,NULL,NULL
252,Müncheb,2867714,48.13743,11.57549
253,Schwaz,2765390,47.35169,11.71014
254,östlich Imst,NaN,47.24504,10.73974
255,Friedrichshafen,2924585,47.65689,9.47554
256,Mittersill,2771385,47.28333,12.48333
257,München (D),2867714,48.13743,11.57549
258,Stuhlfelden,2764063,47.28761,12.52755
259,Lessach,2772583,47.1,14.31667
260,Kufstein,2773300,47.58333,12.16667
261,südöstlich Kitzbühel,NaN,47.44637,12.39215
262,Augsburg (D),2954172,48.37154,10.89851
263,Mils,,NULL,NULL
264,Höllriegelskreuth,2900381,48.042,11.50681
265,Höllriegelskreuth,2900381,48.042,11.50681
266,Zillertal,2760567,47.31139,11.87139
267,Gerlos,3323921,47.22464,12.03012
268,Allach (D),2958474,48.19267,11.46235
269,Kelchsau,,NULL,NULL
270,Feldkirchen in Kärnten,2779669,46.72368,14.0958
